Product Name,Price (Rs.),Rating,Reviews,Product Link
"ZTE | nubia V80 Max (8 + 128 ) | 6.9"" 120Hz LCDr | 50 MP AI Camera | Li-Ion 6000 mAh",23999.0,,0,
INFOCOUS BINGO20 4g,5081.0,,0,
COOLPAD COOL10,18800.0,,0,
Alcatel 3x (5058I) 32GB ROM + 3GB RAM,10999.0,,0,
"Tecno POVA Curve 2 5G (8/256GB) | 6.78"" 144Hz Curved AMOLED Display | World's Slimmest Smartphone | 8000mAh Battery",52999.0,,0,
infocous a1,5500.0,,0,
vivo Y31d | 7200 mAh Battery + 44 Watt Flash Charge | Snapdragon 6s Gen 2 4G I IP68/69+ WaterProof | Dual Stereo Speaker 400% |,51999.0,,0,
Radio Mobile,2390.0,,0,
vivo Y15C | (3GB+32GB | 8.28mm Body thickness | 5000mAh | SideFingerprint,14999.0,,0,
"ZTE | nubia V80 Max (8 + 256 ) | 6.9"" 120Hz LCDr | 50 MP AI Camera | Li-Ion 6000 mAh",26999.0,,0,
Infinix Hot 60 Pro+ arrives in Nepal with a super slim design,30999.0,,0,
Blackview Shark 6 5G | Smarter. Faster. Smoother. Built to Lead!,19999.0,,0,
"Infinix Note Edge (8 GB/128GB) All Round Power with 1.5K curved AMOLED, big battery, smooth performance.",41999.0,,0,
realme 15 Pro  (12+256) | 7000 mAh battery | 80W charging | 50 MP camera | 6.8 inch display,66999.0,,0,
"Blackview Fort 1 | 10,000mAh Battery | Rugged Phone Android 15 | 4GB+128GB | 2TB Expand | 6.56"" 90Hz | 4G Dual SIM IP69K | Fingerprint/NFC/OTG/GPS",21999.0,,0,
Vivo Y400 (8GB/256GB) 6000MAH Battery 44W Charger,39999.0,,0,
VIVO V70  (12/512GB)90W FASTCHARGING,102999.0,,0,
"Redmi 15 (6GB+128GB) | 6.9"" FHD+ Dot Display | Snapdragon® 685 6nm processor | 7000mAh (typ) Battery | 33W fast charging | 18W reverse charging",24999.0,4.8,10,
Big Battery Mobil Oktokey Best,4111.0,,0,
Smartphone Oukitel C19 Pro,13000.0,,0,
